geo,sector,year,elec_carb_int_inp,elec_gen_GWh_inp,emis_int_inp,emissions_MtCo2_inp,ind_val_add_2019_bln_inp,pcap_emis_int_inp,pop_inp,resi_emis_int_inp
ACT,"Electricity generation, Gas, Water & Waste Services",2009,,,0.33557390692017164,0.23589000000000002,0.7029449999999999,,,
ACT,"Electricity generation, Gas, Water & Waste Services",2010,,,0.34425141242937857,0.24373,0.708,,,
ACT,"Electricity generation, Gas, Water & Waste Services",2011,,,0.3594278592201318,0.24224,0.6739599999999999,,,
ACT,"Electricity generation, Gas, Water & Waste Services",2012,,,0.30634941161256957,0.21321,0.6959699999999999,,,
ACT,"Electricity generation, Gas, Water & Waste Services",2013,,,0.2936950980598681,0.20912999999999998,0.7120650000000001,,,
ACT,"Electricity generation, Gas, Water & Waste Services",2014,,,0.2964489514564487,0.20858000000000002,0.7035950000000001,,,
ACT,"Electricity generation, Gas, Water & Waste Services",2015,,,0.3088125680866922,0.21543999999999996,0.69764,,,
ACT,"Electricity generation, Gas, Water & Waste Services",2016,,,0.2847291584002627,0.2081,0.73087,,,
ACT,"Electricity generation, Gas, Water & Waste Services",2017,,,0.24876140808344196,0.1908,0.767,,,
ACT,"Electricity generation, Gas, Water & Waste Services",2018,,,0.21085371085371088,0.16711,0.7925399999999999,,,
ACT,"Electricity generation, Gas, Water & Waste Services",2019,,,,,,,,
ACT,"Electricity generation, Gas, Water & Waste Services",2020,,,,,,,,
ACT,"Electricity generation, Gas, Water & Waste Services",2021,,,,,,,,
ACT,"Electricity generation, Gas, Water & Waste Services",2022,,,,,,,,
ACT,"Electricity generation, Gas, Water & Waste Services",2023,,,,,,,,
ACT,"Electricity generation, Gas, Water & Waste Services",2024,,,,,,,,
ACT,"Electricity generation, Gas, Water & Waste Services",2025,,,,,,,,
ACT,"Electricity generation, Gas, Water & Waste Services",2026,,,,,,,,
ACT,"Electricity generation, Gas, Water & Waste Services",2027,,,,,,,,
ACT,"Electricity generation, Gas, Water & Waste Services",2028,,,,,,,,
ACT,"Electricity generation, Gas, Water & Waste Services",2029,,,,,,,,
ACT,"Electricity generation, Gas, Water & Waste Services",2030,,,,,,,,
ACT,"Electricity generation, Gas, Water & Waste Services",2031,,,,,,,,
ACT,"Electricity generation, Gas, Water & Waste Services",2032,,,,,,,,
ACT,"Electricity generation, Gas, Water & Waste Services",2033,,,,,,,,
ACT,"Electricity generation, Gas, Water & Waste Services",2034,,,,,,,,
ACT,"Electricity generation, Gas, Water & Waste Services",2035,,,,,,,,
ACT,"Electricity generation, Gas, Water & Waste Services",2036,,,,,,,,
ACT,"Electricity generation, Gas, Water & Waste Services",2037,,,,,,,,
ACT,"Electricity generation, Gas, Water & Waste Services",2038,,,,,,,,
ACT,"Electricity generation, Gas, Water & Waste Services",2039,,,,,,,,
ACT,"Electricity generation, Gas, Water & Waste Services",2040,,,,,,,,
ACT,"Electricity generation, Gas, Water & Waste Services",2041,,,,,,,,
ACT,"Electricity generation, Gas, Water & Waste Services",2042,,,,,,,,
ACT,"Electricity generation, Gas, Water & Waste Services",2043,,,,,,,,
ACT,"Electricity generation, Gas, Water & Waste Services",2044,,,,,,,,
ACT,"Electricity generation, Gas, Water & Waste Services",2045,,,,,,,,
ACT,"Electricity generation, Gas, Water & Waste Services",2046,,,,,,,,
ACT,"Electricity generation, Gas, Water & Waste Services",2047,,,,,,,,
ACT,"Electricity generation, Gas, Water & Waste Services",2048,,,,,,,,
ACT,"Electricity generation, Gas, Water & Waste Services",2049,,,,,,,,
ACT,"Electricity generation, Gas, Water & Waste Services",2050,,,,,,,,
ACT,LULUCF,1990,,,,-0.127,,,,
ACT,LULUCF,2005,,,,,,,,
ACT,LULUCF,2006,,,,,,,,
ACT,LULUCF,2007,,,,,,,,
ACT,LULUCF,2008,,,,,,,,
ACT,LULUCF,2009,,,,0.06405,,,,
ACT,LULUCF,2010,,,,0.18259,,,,
ACT,LULUCF,2011,,,,0.20235,,,,
ACT,LULUCF,2012,,,,0.15283000000000002,,,,
ACT,LULUCF,2013,,,,0.12168000000000001,,,,
ACT,LULUCF,2014,,,,0.19574,,,,
ACT,LULUCF,2015,,,,0.10859,,,,
ACT,LULUCF,2016,,,,-0.00858,,,,
ACT,LULUCF,2017,,,,0.0017,,,,
ACT,LULUCF,2018,,,,-0.09705,,,,
ACT,LULUCF,2019,,,,,,,,
ACT,LULUCF,2020,,,,,,,,
ACT,LULUCF,2021,,,,,,,,
ACT,LULUCF,2022,,,,,,,,
ACT,LULUCF,2023,,,,,,,,
ACT,LULUCF,2024,,,,,,,,
ACT,LULUCF,2025,,,,,,,,
ACT,LULUCF,2026,,,,,,,,
ACT,LULUCF,2027,,,,,,,,
ACT,LULUCF,2028,,,,,,,,
ACT,LULUCF,2029,,,,,,,,
ACT,LULUCF,2030,,,,,,,,
ACT,LULUCF,2031,,,,,,,,
ACT,LULUCF,2032,,,,,,,,
ACT,LULUCF,2033,,,,,,,,
ACT,LULUCF,2034,,,,,,,,
ACT,LULUCF,2035,,,,,,,,
ACT,LULUCF,2036,,,,,,,,
ACT,LULUCF,2037,,,,,,,,
ACT,LULUCF,2038,,,,,,,,
ACT,LULUCF,2039,,,,,,,,
ACT,LULUCF,2040,,,,,,,,
ACT,LULUCF,2041,,,,,,,,
ACT,LULUCF,2042,,,,,,,,
ACT,LULUCF,2043,,,,,,,,
ACT,LULUCF,2044,,,,,,,,
ACT,LULUCF,2045,,,,,,,,
ACT,LULUCF,2046,,,,,,,,
ACT,LULUCF,2047,,,,,,,,
ACT,LULUCF,2048,,,,,,,,
ACT,LULUCF,2049,,,,,,,,
ACT,LULUCF,2050,,,,,,,,
ACT,Manufacturing,1990,,,,0.0,,,,
ACT,Manufacturing,2005,,,,,,,,
ACT,Manufacturing,2006,,,,,,,,
ACT,Manufacturing,2007,,,,,,,,
ACT,Manufacturing,2008,,,,,,,,
ACT,Manufacturing,2009,,,0.06857179104950997,0.03243,0.472935,,,
ACT,Manufacturing,2010,,,0.05973139586085425,0.027129999999999998,0.4542,,,
ACT,Manufacturing,2011,,,0.05851755526657998,0.0261,0.44601999999999997,,,
ACT,Manufacturing,2012,,,0.07119183348800212,0.03222,0.45258,,,
ACT,Manufacturing,2013,,,0.09461207650082164,0.04059,0.42901500000000004,,,
ACT,Manufacturing,2014,,,0.13702642151770406,0.054740000000000004,0.39948500000000003,,,
ACT,Manufacturing,2015,,,0.13430539936143535,0.05195,0.386805,,,
ACT,Manufacturing,2016,,,0.10339622641509433,0.039729999999999994,0.38425,,,
ACT,Manufacturing,2017,,,0.10500156136150725,0.040350000000000004,0.38428,,,
ACT,Manufacturing,2018,,,0.09257263114669952,0.03607,0.38964,,,
ACT,Manufacturing,2019,,,,,,,,
ACT,Manufacturing,2020,,,,,,,,
ACT,Manufacturing,2021,,,,,,,,
ACT,Manufacturing,2022,,,,,,,,
ACT,Manufacturing,2023,,,,,,,,
ACT,Manufacturing,2024,,,,,,,,
ACT,Manufacturing,2025,,,,,,,,
ACT,Manufacturing,2026,,,,,,,,
ACT,Manufacturing,2027,,,,,,,,
ACT,Manufacturing,2028,,,,,,,,
ACT,Manufacturing,2029,,,,,,,,
ACT,Manufacturing,2030,,,,,,,,
ACT,Manufacturing,2031,,,,,,,,
ACT,Manufacturing,2032,,,,,,,,
ACT,Manufacturing,2033,,,,,,,,
ACT,Manufacturing,2034,,,,,,,,
ACT,Manufacturing,2035,,,,,,,,
ACT,Manufacturing,2036,,,,,,,,
ACT,Manufacturing,2037,,,,,,,,
ACT,Manufacturing,2038,,,,,,,,
ACT,Manufacturing,2039,,,,,,,,
ACT,Manufacturing,2040,,,,,,,,
ACT,Manufacturing,2041,,,,,,,,
ACT,Manufacturing,2042,,,,,,,,
ACT,Manufacturing,2043,,,,,,,,
ACT,Manufacturing,2044,,,,,,,,
ACT,Manufacturing,2045,,,,,,,,
ACT,Manufacturing,2046,,,,,,,,
ACT,Manufacturing,2047,,,,,,,,
ACT,Manufacturing,2048,,,,,,,,
ACT,Manufacturing,2049,,,,,,,,
ACT,Manufacturing,2050,,,,,,,,
ACT,Mining,1990,,,,0.05182,,,,
ACT,Mining,2005,,,,,,,,
ACT,Mining,2006,,,,,,,,
ACT,Mining,2007,,,,,,,,
ACT,Mining,2008,,,,,,,,
ACT,Mining,2009,,,0.04095152062631737,0.00068,0.016605,,,
ACT,Mining,2010,,,0.02803030303030303,0.00074,0.0264,,,
ACT,Mining,2011,,,0.026675341574495772,0.00082,0.03074,,,
ACT,Mining,2012,,,0.03586744639376219,0.00092,0.02565,,,
ACT,Mining,2013,,,0.03995299647473561,0.00102,0.02553,,,
ACT,Mining,2014,,,0.038899082568807336,0.00106,0.027250000000000003,,,
ACT,Mining,2015,,,0.05121495327102804,0.0013700000000000001,0.02675,,,
ACT,Mining,2016,,,0.0523317906728373,0.00147,0.02809,,,
ACT,Mining,2017,,,0.05288461538461539,0.0015400000000000001,0.02912,,,
ACT,Mining,2018,,,0.005952380952380952,0.00017,0.028560000000000002,,,
ACT,Mining,2019,,,,,,,,
ACT,Mining,2020,,,,,,,,
ACT,Mining,2021,,,,,,,,
ACT,Mining,2022,,,,,,,,
ACT,Mining,2023,,,,,,,,
ACT,Mining,2024,,,,,,,,
ACT,Mining,2025,,,,,,,,
ACT,Mining,2026,,,,,,,,
ACT,Mining,2027,,,,,,,,
ACT,Mining,2028,,,,,,,,
ACT,Mining,2029,,,,,,,,
ACT,Mining,2030,,,,,,,,
ACT,Mining,2031,,,,,,,,
ACT,Mining,2032,,,,,,,,
ACT,Mining,2033,,,,,,,,
ACT,Mining,2034,,,,,,,,
ACT,Mining,2035,,,,,,,,
ACT,Mining,2036,,,,,,,,
ACT,Mining,2037,,,,,,,,
ACT,Mining,2038,,,,,,,,
ACT,Mining,2039,,,,,,,,
ACT,Mining,2040,,,,,,,,
ACT,Mining,2041,,,,,,,,
ACT,Mining,2042,,,,,,,,
ACT,Mining,2043,,,,,,,,
ACT,Mining,2044,,,,,,,,
ACT,Mining,2045,,,,,,,,
ACT,Mining,2046,,,,,,,,
ACT,Mining,2047,,,,,,,,
ACT,Mining,2048,,,,,,,,
ACT,Mining,2049,,,,,,,,
ACT,Mining,2050,,,,,,,,
ACT,Overall,1990,,,,,,,,
ACT,Overall,2005,,,,,,,,
ACT,Overall,2006,,,,,,,,
ACT,Overall,2007,,,,,,,,
ACT,Overall,2008,,,,,,,,
ACT,Overall,2009,,,,,,4.098594923686176,0.354785,2.305649900644052
ACT,Overall,2010,,,,,,4.501832676370914,0.361766,2.3049153320101947
ACT,Overall,2011,,,,,,4.604725736103374,0.367985,2.31870864301534
ACT,Overall,2012,,,,,,4.320482074897952,0.376539,2.2685033953986173
ACT,Overall,2013,,,,,,4.139180758603235,0.383257,2.190905841250127
ACT,Overall,2014,,,,,,4.2749852751678885,0.388799,2.126034274779513
ACT,Overall,2015,,,,,,4.220376794092159,0.395813,2.2344895190405567
ACT,Overall,2016,,,,,,3.9089416130824803,0.403104,2.23604826546003
ACT,Overall,2017,,,,,,3.7374085527178114,0.411986,2.0667449864801233
ACT,Overall,2018,,,,,,3.19407036919939,0.420667,1.961694166644876
ACT,Overall,2019,,,,,,,0.42949,
ACT,Overall,2020,,,,,,,0.438275,
ACT,Overall,2021,,,,,,,0.446983,
ACT,Overall,2022,,,,,,,0.45561,
ACT,Overall,2023,,,,,,,0.464083,
ACT,Overall,2024,,,,,,,0.471939,
ACT,Overall,2025,,,,,,,0.479645,
ACT,Overall,2026,,,,,,,0.487211,
ACT,Overall,2027,,,,,,,0.494613,
ACT,Overall,2028,,,,,,,0.501981,
ACT,Overall,2029,,,,,,,0.509325,
ACT,Overall,2030,,,,,,,0.516641,
ACT,Overall,2031,,,,,,,0.523922,
ACT,Overall,2032,,,,,,,0.531165,
ACT,Overall,2033,,,,,,,0.538367,
ACT,Overall,2034,,,,,,,0.545531,
ACT,Overall,2035,,,,,,,0.55266,
ACT,Overall,2036,,,,,,,0.55976,
ACT,Overall,2037,,,,,,,0.566838,
ACT,Overall,2038,,,,,,,0.573899,
ACT,Overall,2039,,,,,,,0.580948,
ACT,Overall,2040,,,,,,,0.587991,
ACT,Overall,2041,,,,,,,0.595034,
ACT,Overall,2042,,,,,,,0.602077,
ACT,Overall,2043,,,,,,,0.609125,
ACT,Overall,2044,,,,,,,0.61618,
ACT,Overall,2045,,,,,,,0.623242,
ACT,Overall,2046,,,,,,,0.630314,
ACT,Overall,2047,,,,,,,0.637395,
ACT,Overall,2048,,,,,,,0.644486,
ACT,Overall,2049,,,,,,,0.651589,
ACT,Overall,2050,,,,,,,0.658708,
ACT,Residential,1990,,,,0.6989099999999999,,,,
ACT,Residential,2005,,,,,,,,
ACT,Residential,2006,,,,,,,,
ACT,Residential,2007,,,,,,,,
ACT,Residential,2008,,,,,,,,
ACT,Residential,2009,,,,0.81801,,,,
ACT,Residential,2010,,,,0.83384,,,,
ACT,Residential,2011,,,,0.85325,,,,
ACT,Residential,2012,,,,0.8541799999999999,,,,
ACT,Residential,2013,,,,0.83968,,,,
ACT,Residential,2014,,,,0.8266,,,,
ACT,Residential,2015,,,,0.88444,,,,
ACT,Residential,2016,,,,0.90136,,,,
ACT,Residential,2017,,,,0.8514700000000001,,,,
ACT,Residential,2018,,,,0.8252200000000001,,,,
ACT,Residential,2019,,,,,,,,
ACT,Residential,2020,,,,,,,,
ACT,Residential,2021,,,,,,,,
ACT,Residential,2022,,,,,,,,
ACT,Residential,2023,,,,,,,,
ACT,Residential,2024,,,,,,,,
ACT,Residential,2025,,,,,,,,
ACT,Residential,2026,,,,,,,,
ACT,Residential,2027,,,,,,,,
ACT,Residential,2028,,,,,,,,
ACT,Residential,2029,,,,,,,,
ACT,Residential,2030,,,,,,,,
ACT,Residential,2031,,,,,,,,
ACT,Residential,2032,,,,,,,,
ACT,Residential,2033,,,,,,,,
ACT,Residential,2034,,,,,,,,
ACT,Residential,2035,,,,,,,,
ACT,Residential,2036,,,,,,,,
ACT,Residential,2037,,,,,,,,
ACT,Residential,2038,,,,,,,,
ACT,Residential,2039,,,,,,,,
ACT,Residential,2040,,,,,,,,
ACT,Residential,2041,,,,,,,,
ACT,Residential,2042,,,,,,,,
ACT,Residential,2043,,,,,,,,
ACT,Residential,2044,,,,,,,,
ACT,Residential,2045,,,,,,,,
ACT,Residential,2046,,,,,,,,
ACT,Residential,2047,,,,,,,,
ACT,Residential,2048,,,,,,,,
ACT,Residential,2049,,,,,,,,
ACT,Residential,2050,,,,,,,,
ACT,Services,1990,,,,0.08312,,,,
ACT,Services,2005,,,,,,,,
ACT,Services,2006,,,,,,,,
ACT,Services,2007,,,,,,,,
ACT,Services,2008,,,,,,,,
ACT,Services,2009,,,0.004970813970787716,0.13348,26.852745,,,
ACT,Services,2010,,,0.005251558325912733,0.14154,26.952,,,
ACT,Services,2011,,,0.005641749457643571,0.15437,27.36208,,,
ACT,Services,2012,,,0.005593166131542321,0.15652000000000002,27.984149999999996,,,
ACT,Services,2013,,,0.005729684376027545,0.15918000000000002,27.781635,,,
ACT,Services,2014,,,0.006016376160385935,0.16593,27.579725000000003,,,
ACT,Services,2015,,,0.006453386742325409,0.17944,27.805555000000002,,,
ACT,Services,2016,,,0.006099302033228824,0.17452,28.61311,,,
ACT,Services,2017,,,0.0061417299091692835,0.17924,29.183960000000003,,,
ACT,Services,2018,,,0.004280481885177176,0.12804,29.91252,,,
ACT,Services,2019,,,,,,,,
ACT,Services,2020,,,,,,,,
ACT,Services,2021,,,,,,,,
ACT,Services,2022,,,,,,,,
ACT,Services,2023,,,,,,,,
ACT,Services,2024,,,,,,,,
ACT,Services,2025,,,,,,,,
ACT,Services,2026,,,,,,,,
ACT,Services,2027,,,,,,,,
ACT,Services,2028,,,,,,,,
ACT,Services,2029,,,,,,,,
ACT,Services,2030,,,,,,,,
ACT,Services,2031,,,,,,,,
ACT,Services,2032,,,,,,,,
ACT,Services,2033,,,,,,,,
ACT,Services,2034,,,,,,,,
ACT,Services,2035,,,,,,,,
ACT,Services,2036,,,,,,,,
ACT,Services,2037,,,,,,,,
ACT,Services,2038,,,,,,,,
ACT,Services,2039,,,,,,,,
ACT,Services,2040,,,,,,,,
ACT,Services,2041,,,,,,,,
ACT,Services,2042,,,,,,,,
ACT,Services,2043,,,,,,,,
ACT,Services,2044,,,,,,,,
ACT,Services,2045,,,,,,,,
ACT,Services,2046,,,,,,,,
ACT,Services,2047,,,,,,,,
ACT,Services,2048,,,,,,,,
ACT,Services,2049,,,,,,,,
ACT,Services,2050,,,,,,,,
NSW,Agriculture & Forestry,1990,,,,,,,,
NSW,Agriculture & Forestry,2005,,,,20.41746,,,,
NSW,Agriculture & Forestry,2006,,,,,,,,
NSW,Agriculture & Forestry,2007,,,,,,,,
NSW,Agriculture & Forestry,2008,,,,,,,,
NSW,Agriculture & Forestry,2009,,,2.676562509472969,17.659209999999998,6.597720000000001,,,
NSW,Agriculture & Forestry,2010,,,2.2744223499973377,17.088189999999997,7.513199999999999,,,
NSW,Agriculture & Forestry,2011,,,2.2849612062799953,18.53003,8.10956,,,
NSW,Agriculture & Forestry,2012,,,2.3419329790589893,19.30268,8.242199999999999,,,
NSW,Agriculture & Forestry,2013,,,2.4479191299682403,19.254009999999997,7.865460000000001,,,
NSW,Agriculture & Forestry,2014,,,2.3906405664851427,18.27316,7.643625000000001,,,
NSW,Agriculture & Forestry,2015,,,2.07000628656158,18.225360000000002,8.804495000000001,,,
NSW,Agriculture & Forestry,2016,,,1.7192177749879995,18.62463,10.833200000000001,,,
NSW,Agriculture & Forestry,2017,,,1.7510609183655794,20.218799999999998,11.5466,,,
NSW,Agriculture & Forestry,2018,,,1.7914296117836606,17.95738,10.024049999999999,,,
NSW,Agriculture & Forestry,2019,,,,,,,,
NSW,Agriculture & Forestry,2020,,,,,,,,
NSW,Agriculture & Forestry,2021,,,,,,,,
NSW,Agriculture & Forestry,2022,,,,,,,,
NSW,Agriculture & Forestry,2023,,,,,,,,
NSW,Agriculture & Forestry,2024,,,,,,,,
NSW,Agriculture & Forestry,2025,,,,,,,,
NSW,Agriculture & Forestry,2026,,,,,,,,
NSW,Agriculture & Forestry,2027,,,,,,,,
NSW,Agriculture & Forestry,2028,,,,,,,,
NSW,Agriculture & Forestry,2029,,,,,,,,
NSW,Agriculture & Forestry,2030,,,,,,,,
NSW,Agriculture & Forestry,2031,,,,,,,,
NSW,Agriculture & Forestry,2032,,,,,,,,
NSW,Agriculture & Forestry,2033,,,,,,,,
NSW,Agriculture & Forestry,2034,,,,,,,,
NSW,Agriculture & Forestry,2035,,,,,,,,
NSW,Agriculture & Forestry,2036,,,,,,,,
NSW,Agriculture & Forestry,2037,,,,,,,,
NSW,Agriculture & Forestry,2038,,,,,,,,
NSW,Agriculture & Forestry,2039,,,,,,,,
NSW,Agriculture & Forestry,2040,,,,,,,,
NSW,Agriculture & Forestry,2041,,,,,,,,
NSW,Agriculture & Forestry,2042,,,,,,,,
NSW,Agriculture & Forestry,2043,,,,,,,,
NSW,Agriculture & Forestry,2044,,,,,,,,
NSW,Agriculture & Forestry,2045,,,,,,,,
NSW,Agriculture & Forestry,2046,,,,,,,,
NSW,Agriculture & Forestry,2047,,,,,,,,
NSW,Agriculture & Forestry,2048,,,,,,,,
NSW,Agriculture & Forestry,2049,,,,,,,,
NSW,Agriculture & Forestry,2050,,,,,,,,
NSW,Commercial Transport,1990,,,,,,,,
NSW,Commercial Transport,2005,,,,6.244,,,,
NSW,Commercial Transport,2006,,,,,,,,
NSW,Commercial Transport,2007,,,,,,,,
NSW,Commercial Transport,2008,,,,,,,,
NSW,Commercial Transport,2009,,,0.27031639181582495,7.17096,26.528025,,,
NSW,Commercial Transport,2010,,,0.27075585536394764,7.55711,27.91116,,,
